Active,"Option
type",Maturity,Strike,Moneyness,"Option
price","Implied
vol.","Calibrated
vol.","Market vol. -
Calibrated vol."
1,1,"0,121",5500,"0,885","758,364","0,262","0,26","0,002"
1,2,"0,121",5500,"0,885","18,992","0,261","0,26","0,002"
1,1,"0,121",5550,"0,893","711,609","0,257","0,255","0,003"
1,2,"0,121",5550,"0,893","21,942","0,257","0,255","0,002"
1,1,"0,121",5600,"0,901","666,818","0,25","0,253","-0,004"
1,2,"0,121",5600,"0,901","26,858","0,249","0,254","-0,004"
1,1,"0,121",5650,"0,909","622,028","0,246","0,25","-0,004"
1,2,"0,121",5650,"0,909","31,774","0,246","0,25","-0,004"
1,1,"0,121",5700,"0,917","577,238","0,242","0,245","-0,003"
1,2,"0,121",5700,"0,917","36,69","0,241","0,245","-0,004"
1,1,"0,121",5750,"0,925","532,448","0,237","0,239","-0,002"
1,2,"0,121",5750,"0,925","41,606","0,236","0,239","-0,003"
1,1,"0,121",5800,"0,933","487,657","0,231","0,231",0
1,2,"0,121",5800,"0,933","46,522","0,231","0,231",0
1,1,"0,121",5850,"0,941","442,867","0,227","0,222","0,005"
1,2,"0,121",5850,"0,941","51,438","0,227","0,222","0,005"
1,1,"0,121",5900,"0,949","402,167","0,224","0,219","0,005"
1,2,"0,121",5900,"0,949","60,444","0,224","0,219","0,005"
1,1,"0,121",5950,"0,958","366,334","0,217","0,22","-0,003"
1,2,"0,121",5950,"0,958","74,317","0,217","0,22","-0,003"
1,1,"0,121",6000,"0,966","330,502","0,214","0,219","-0,005"
1,2,"0,121",6000,"0,966","88,191","0,214","0,219","-0,005"
1,1,"0,121",6050,"0,974","294,669","0,211","0,216","-0,004"
1,2,"0,121",6050,"0,974","102,065","0,211","0,216","-0,005"
1,1,"0,121",6100,"0,982","258,837","0,205","0,21","-0,005"
1,2,"0,121",6100,"0,982","115,939","0,205","0,21","-0,005"
1,1,"0,121",6150,"0,99","223,004","0,202","0,202",0
1,2,"0,121",6150,"0,99","129,812","0,202","0,202",0
1,1,"0,121",6200,"0,998","187,172","0,198","0,192","0,006"
1,2,"0,121",6200,"0,998","143,686","0,198","0,192","0,006"
1,1,"0,121",6250,"1,006","154,347","0,196","0,183","0,012"
1,2,"0,121",6250,"1,006","160,567","0,196","0,183","0,012"
1,1,"0,121",6300,"1,014","137,388","0,194","0,19","0,004"
1,2,"0,121",6300,"1,014","193,315","0,194","0,19","0,004"
1,1,"0,121",6350,"1,022","120,429","0,189","0,194","-0,005"
1,2,"0,121",6350,"1,022","226,062","0,189","0,194","-0,005"
1,1,"0,121",6400,"1,03","103,471","0,188","0,195","-0,007"
1,2,"0,121",6400,"1,03","258,809","0,188","0,195","-0,007"
1,1,"0,121",6450,"1,038","86,512","0,186","0,194","-0,009"
1,2,"0,121",6450,"1,038","291,557","0,186","0,194","-0,009"
1,1,"0,121",6500,"1,046","69,553","0,186","0,19","-0,004"
1,2,"0,121",6500,"1,046","324,304","0,186","0,19","-0,004"
1,1,"0,121",6550,"1,054","52,594","0,181","0,183","-0,002"
1,2,"0,121",6550,"1,054","357,052","0,181","0,183","-0,002"
1,1,"0,121",6600,"1,062","35,635","0,178","0,171","0,007"
1,2,"0,121",6600,"1,062","389,799","0,178","0,171","0,007"
1,1,"0,121",6650,"1,07","24,46","0,178","0,164","0,014"
1,2,"0,121",6650,"1,07","428,329","0,178","0,164","0,014"
1,1,"0,121",6700,"1,078","21,634","0,175","0,17","0,005"
1,2,"0,121",6700,"1,078","475,21","0,175","0,17","0,005"
1,1,"0,121",6750,"1,086","18,809","0,176","0,176",0
1,2,"0,121",6750,"1,086","522,091","0,176","0,176",0
1,1,"0,121",6800,"1,094","15,984","0,175","0,18","-0,005"
1,2,"0,121",6800,"1,094","568,973","0,175","0,18","-0,005"
