Maturity,Type,Strike,Price
"0,0438356164384",2,5900,"20,1"
"0,0438356164384",1,5950,"308,1"
"0,0438356164384",2,5950,"24,5"
"0,0438356164384",1,6000,"266,3"
"0,0438356164384",2,6000,"32,5"
"0,0438356164384",1,6050,"226,8"
"0,0438356164384",2,6050,"42,9"
"0,0438356164384",1,6100,"186,2"
"0,0438356164384",2,6100,"52,2"
"0,0438356164384",1,6150,"152,7"
"0,0438356164384",2,6150,"68,6"
"0,0438356164384",1,6200,"121,8"
"0,0438356164384",2,6200,"87,6"
"0,0438356164384",1,6250,"93,7"
"0,0438356164384",2,6250,"109,4"
"0,0438356164384",1,6300,"72,2"
"0,0438356164384",2,6300,"137,8"
"0,0438356164384",1,6350,"50,6"
"0,0438356164384",2,6350,"166,2"
"0,0438356164384",1,6400,"37,4"
"0,0438356164384",2,6400,"202,8"
"0,0438356164384",1,6450,"27,1"
"0,0438356164384",2,6450,"242,4"
"0,0438356164384",1,6500,"17,2"
"0,0438356164384",2,6500,"282,4"
"0,0438356164384",1,6550,"12,3"
"0,0438356164384",2,6550,"327,4"
"0,0438356164384",1,6600,"7,2"
"0,0438356164384",2,6600,"372,2"
"0,0438356164384",1,6650,"5,1"
"0,0438356164384",2,6650,420
"0,0438356164384",1,6700,"3,7"
"0,0438356164384",2,6700,"468,5"
"0,0438356164384",1,6800,"1,4"
"0,0438356164384",2,6800,566
"0,0438356164384",1,6900,"0,8"
"0,0438356164384",2,6900,"665,2"
"0,0438356164384",1,7000,"0,3"
"0,0438356164384",2,7000,"764,5"
"0,0438356164384",1,7100,"0,2"
"0,0438356164384",2,7100,"864,2"
"0,120547945205",1,3600,2629
"0,120547945205",2,3600,"0,1"
"0,120547945205",1,3800,"2430,2"
"0,120547945205",2,3800,"0,1"
"0,120547945205",1,4000,"2231,5"
"0,120547945205",2,4000,"0,3"
"0,120547945205",1,4200,"2032,9"
"0,120547945205",2,4200,"0,6"
"0,120547945205",1,4400,"1834,4"
"0,120547945205",2,4400,1
"0,120547945205",1,4600,"1636,1"
"0,120547945205",2,4600,"1,6"
"0,120547945205",1,4800,"1438,5"
"0,120547945205",2,4800,"2,9"
"0,120547945205",1,5000,"1241,6"
