Strike,Maturity,Implied vol.,Option price,Implied delta,Implied gamma,Implied theta,Local delta,Local gamma
4639.36,0.578947,0.270898,1168.36,0.875205,0.000178288,881.44,0.827195,0.000215285
4816.66,0.578947,0.265527,1023.82,0.837523,0.000217212,1052.58,0.776825,0.000254887
4993.96,0.578947,0.25957,885.883,0.793576,0.000257776,1221.12,0.719612,0.000291505
5171.26,0.578947,0.253223,755.674,0.743167,0.000298387,1378.94,0.656987,0.000321514
5348.56,0.578947,0.244336,630.558,0.687374,0.000339614,1514.38,0.590794,0.000347166
5525.86,0.578947,0.236816,517.274,0.624349,0.000375357,1622.25,0.520349,0.000360366
5703.16,0.578947,0.225439,408.278,0.555567,0.0004105,1688.91,0.448362,0.000369054
5880.46,0.578947,0.21748,316.554,0.481469,0.000429171,1703.39,0.376569,0.000359811
6057.76,0.578947,0.205518,230.805,0.40182,0.000440752,1653.13,0.304844,0.000344368
6235.06,0.578947,0.198486,166.392,0.324911,0.00042456,1537.92,0.241798,0.000312599
6412.36,0.578947,0.191602,114.957,0.252044,0.000390017,1363.78,0.184029,0.000270902
6589.66,0.578947,0.183496,73.9868,0.184244,0.000339726,1137.67,0.13483,0.000228469
6766.96,0.578947,0.183203,51.4789,0.137532,0.000281018,939.573,0.100747,0.000184736
6944.26,0.578947,0.174414,28.9709,0.0887836,0.000215783,686.849,0.0666637,0.000141003
7121.56,0.578947,0.179688,21.9065,0.0682212,0.000171501,562.402,0.0526958,0.000115802
4107.46,0.621053,0.276563,1642.06,0.952575,0.0000815919,441.766,0.934738,0.0000996212
4284.76,0.621053,0.275391,1483.96,0.930599,0.00011018,594.026,0.903844,0.000135071
4462.06,0.621053,0.270898,1329.01,0.904956,0.000141711,751.556,0.867879,0.000173065
4639.36,0.621053,0.269141,1181.94,0.871406,0.000176889,932.036,0.821722,0.000211683
4816.66,0.621053,0.26377,1038.37,0.834208,0.00021388,1104.45,0.772062,0.000248856
4993.96,0.621053,0.258203,901.834,0.790854,0.000252131,1274.5,0.715587,0.000282787
5171.26,0.621053,0.251953,772.306,0.74166,0.000290418,1432.5,0.654559,0.000310999
5348.56,0.621053,0.243652,648.406,0.68726,0.000328866,1568.71,0.589876,0.000334622
5525.86,0.621053,0.236377,535.519,0.626286,0.000362488,1677.46,0.521751,0.000347397
5703.16,0.621053,0.226074,427.746,0.559997,0.000394583,1746.39,0.452029,0.000355134
5880.46,0.621053,0.218457,335.766,0.488891,0.000412802,1765.47,0.382906,0.000347683
6057.76,0.621053,0.208057,250.928,0.413347,0.000423288,1724.13,0.314056,0.000333366
6235.06,0.621053,0.200635,183.803,0.338869,0.000412368,1619.73,0.252089,0.000306238
6412.36,0.621053,0.194141,130.381,0.268286,0.000383802,1458.73,0.195447,0.000269204
6589.66,0.621053,0.185352,85.5682,0.200117,0.00034157,1239.45,0.145362,0.00023104
6766.96,0.621053,0.184863,60.8485,0.152424,0.000288164,1042.9,0.110576,0.000190234
6944.26,0.621053,0.17666,36.1288,0.102723,0.000228995,791.985,0.07579,0.000149429
7121.56,0.621053,0.180078,26.6085,0.0782187,0.000183455,646.76,0.0592754,0.000123172
4107.46,0.663158,0.274219,1653.26,0.950081,0.0000829895,475.731,0.931028,0.000101
4284.76,0.663158,0.272656,1496.06,0.928116,0.000110678,630.837,0.900053,0.00013501
4462.06,0.663158,0.268848,1342.39,0.902039,0.000141322,794.249,0.86366,0.000171404
4639.36,0.663158,0.266797,1196.23,0.86895,0.000175,976.022,0.81809,0.00020791
4816.66,0.663158,0.261426,1053.45,0.832317,0.000210406,1149.87,0.769207,0.000243192
4993.96,0.663158,0.256543,918.301,0.789373,0.000246631,1322.66,0.713384,0.000274877
5171.26,0.663158,0.250391,789.453,0.741353,0.000283011,1481.36,0.653835,0.000301603
5348.56,0.663158,0.242969,667.035,0.688119,0.000318804,1619.25,0.590486,0.000323273
5525.86,0.663158,0.236133,554.746,0.629026,0.000350358,1729.46,0.524485,0.000335542
5703.16,0.663158,0.2271,448.683,0.565101,0.000379382,1801.08,0.456854,0.000342033
5880.46,0.663158,0.219775,356.317,0.496851,0.000397253,1825.1,0.390083,0.000336274
6057.76,0.663158,0.210742,272.316,0.425058,0.000406913,1792.64,0.323837,0.000323036
6235.06,0.663158,0.203027,202.602,0.353033,0.000400427,1699.49,0.262989,0.000300146
6412.36,0.663158,0.197168,147.659,0.285046,0.000376756,1552.88,0.207721,0.000267278
6589.66,0.663158,0.187842,99.0875,0.217023,0.000342157,1343.56,0.157054,0.000233435
6766.96,0.663158,0.187891,72.7017,0.169635,0.00029423,1155.67,0.1224,0.00019619
6944.26,0.663158,0.18125,46.3159,0.120717,0.00024245,918.63,0.0877471,0.000158945
7121.56,0.663158,0.182715,33.5914,0.0917104,0.000197153,753.04,0.0682071,0.00013184
4107.46,0.705263,0.272266,1662.95,0.947435,0.00008447,511.293,0.927186,0.00010241
